id	name	short_name	flops_per_sec	flops_per_spike	bytes	description	ref_id	supporting_refs	ref_note	confidence	validated_by
lif	Leaky Integrate-and-Fire	LIF	40000	15	4	Simple point neuron with exponential leak				none	none
hh5	5-Compartment Hodgkin-Huxley	5-comp HH	3450000	0	80	Biophysically detailed with soma, dendrites, and axon				none	none
izhikevich	Izhikevich	Izhikevich	130000	25	16	Efficient spiking model capturing many firing patterns				none	none
adex	Adaptive Exponential	AdEx	200000	30	24	Two-variable model with adaptation and exponential spike				none	none
